log2_N,N,Init_T,FFT_T,RMS_T,Total_T
2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,2.5583324629e-16,
REL_RMS_ERR for log2_N:10
2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,2.5798735237e-16,
REL_RMS_ERR for log2_N:11
2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,2.6294884009e-16,
REL_RMS_ERR for log2_N:12
2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,2.5405508841e-16,
REL_RMS_ERR for log2_N:13
2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,2.7507019029e-16,
REL_RMS_ERR for log2_N:14
2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,2.7268208698e-16,
REL_RMS_ERR for log2_N:15
2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,2.6149543221e-16,
REL_RMS_ERR for log2_N:16
2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,2.8535355298e-16,
REL_RMS_ERR for log2_N:17
2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,2.7247985883e-16,
REL_RMS_ERR for log2_N:18
2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,2.6156588768e-16,
REL_RMS_ERR for log2_N:19
2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,2.8518094421e-16,
REL_RMS_ERR for log2_N:20
2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,2.9344620808e-16,
REL_RMS_ERR for log2_N:21
2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,2.9485657977e-16,
REL_RMS_ERR for log2_N:22
3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,3.0027868919e-16,

