log2_N,Init_T,FFT_T,RMS_T,Total_T
8,12,31,0,43
8,11,25,0,36
8,12,23,1,36
8,12,23,1,36
8,12,23,1,36
8,12,23,1,36
8,12,23,1,36
8,12,24,0,36
8,12,23,1,36
8,12,23,1,36
9,23,59,1,83
9,23,53,0,76
9,23,53,1,77
9,23,53,1,77
9,23,53,1,77
9,23,53,0,76
9,23,53,0,76
9,23,53,0,76
9,22,54,0,76
9,44,54,0,98
10,45,135,1,181
10,45,120,1,166
10,45,119,1,165
10,44,120,0,164
10,45,119,1,165
10,45,119,0,164
10,45,120,0,165
10,45,119,1,165
10,45,120,0,165
10,45,120,0,165
11,96,299,0,395
11,89,265,0,354
11,90,264,0,354
11,89,264,0,353
11,90,264,0,354
11,89,264,1,354
11,89,263,1,353
11,89,264,0,353
11,90,263,0,353
11,89,265,0,354
12,178,819,0,997
12,178,681,1,860
12,178,679,0,857
12,178,678,0,856
12,178,680,1,859
12,178,681,0,859
12,178,679,1,858
12,178,679,0,857
12,178,709,0,887
12,178,681,0,859
13,369,1981,0,2350
13,356,1827,1,2184
13,356,1865,0,2221
13,356,1832,0,2188
13,355,1902,1,2258
13,356,1829,0,2185
13,356,1855,0,2211
13,373,1849,1,2223
13,356,1830,0,2186
13,356,1889,0,2245
14,711,4446,1,5158
14,711,4342,0,5053
14,712,4245,0,4957
14,711,4257,1,4969
14,711,4281,0,4992
14,711,4246,0,4957
14,735,4227,0,4962
14,711,4270,1,4982
14,736,4217,1,4954
14,711,4423,0,5134
15,1757,10231,1,11989
15,1424,9862,1,11287
15,1423,9748,1,11172
15,1705,10056,1,11762
15,1426,10129,1,11556
15,1559,9968,1,11528
15,1425,9858,1,11284
15,1423,9962,1,11386
15,1423,9973,1,11397
15,1424,9762,1,11187
16,3512,24797,1,28310
16,2980,23971,1,26952
16,2851,24024,1,26876
16,2851,23815,2,26668
16,2927,23595,1,26523
16,2850,23926,1,26777
16,2851,24019,1,26871
16,2949,25658,1,28608
16,2924,24274,1,27199
16,2895,24404,1,27300
17,7331,86319,1,93651
17,5749,84443,1,90193
17,5777,85048,1,90826
17,5707,86112,1,91820
17,5739,85136,1,90876
17,5775,84474,1,90250
17,5820,84739,1,90560
17,5791,84690,1,90482
17,5955,84882,2,90839
17,5812,84484,1,90297
18,14986,194831,1,209818
18,11843,191616,1,203460
18,11587,191774,2,203363
18,11653,191531,1,203185
18,11736,191813,2,203551
18,11539,191773,1,203313
18,11580,191754,1,203335
18,11599,191602,1,203202
18,11524,192359,1,203884
18,11601,192184,1,203786
19,29817,371933,1,401751
19,23322,363466,1,386789
19,23178,365427,0,388605
19,23292,363576,1,386869
19,23328,363769,0,387097
19,23370,363210,1,386581
19,23202,363111,1,386314
19,23110,364305,1,387416
19,23726,365203,0,388929
19,23200,363369,1,386570
20,59919,764695,1,824615
20,46315,748607,1,794923
20,46346,749721,1,796068
20,46503,748454,1,794958
20,46371,748955,1,795327
20,46304,747998,1,794303
20,47189,748953,1,796143
20,46593,748128,0,794721
20,46420,748605,1,795026
20,46391,749535,1,795927
21,119964,1583008,1,1702973
21,92924,1549576,1,1642501
21,92938,1550411,1,1643350
21,92648,1549832,1,1642481
21,92882,1549514,2,1642398
21,93076,1548473,1,1641550
21,92791,1549317,1,1642109
21,92649,1548790,0,1641439
21,92720,1550390,1,1643111
21,93093,1549682,1,1642776
22,239886,3270922,1,3510809
22,185605,3237849,0,3423454
22,185500,3239128,1,3424629
22,185575,3238105,2,3423682
22,185470,3238921,1,3424392
22,185814,3237159,1,3422974
22,185861,3238023,1,3423885
22,185354,3238148,1,3423503
22,185536,3237559,1,3423096
22,186005,3239250,1,3425256
