log2_N,N,Init_T,FFT_T,RMS_T,Total_T
8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,8.1425405319e-08,
REL_RMS_ERR for log2_N:18
6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,6.8625810691e-08,
REL_RMS_ERR for log2_N:19
9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,9.9472550536e-08,
REL_RMS_ERR for log2_N:20
1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,1.1173795169e-07,
REL_RMS_ERR for log2_N:21
1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,1.0866283671e-07,
REL_RMS_ERR for log2_N:22
1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,1.0725589490e-07,

